,ID,Title,Location,Estado,Company,Salary,Synopsis,Description,Post_Date,Accessed_Date,English,Skills,Academy_grade,Years_Experience,SoftSkill,Full Description,Skill_datos,Roles_datos,Areas_datos
10,10,General IT Applications Development-P40 - IT North America,Ciudad de México,Ciudad de México,Nestle,,"Provides deep specialist guidance and support in their specific specialties (e.g. artificial intelligence, robotic process automation, machine learning, etc.,…",,Postedhace 25 días,2022-04-22,,,,,,"Provides deep specialist guidance and support in their specific specialties (e.g. artificial intelligence, robotic process automation, machine learning, etc.,… ",Machine learning,,
11,11,Senior Database Specialist Solutions Architect,Ciudad de México,Ciudad de México,Amazon Kuiper Mexico S.de R.L.,,"The successful candidate will become a trusted advisor to our customers and will partner with AWS specialist sales, business development, and product teams to…",,Postedhace 30+ días,2022-04-22,,,,,,"The successful candidate will become a trusted advisor to our customers and will partner with AWS specialist sales, business development, and product teams to… ",,Specialist,
12,12,Business Intelligence Analyst,"Guadalajara, Jal.",Jalisco,Oracle,,Hiring better employees creates long-term competitive advantages that lead to increased customer satisfaction and revenue growth.,"Business Intelligence Analyst-220000SU

Applicants are required to read, write, and speak the following languages: English

Detailed Description and Job Requirements

Business Intelligence Analyst

We are looking for data enthusiasts who are passionate about data analytics, data models, data visualization, join us to support the Global Talent Acquisition organization.
Hiring better employees creates long-term competitive advantages that lead to increased customer satisfaction and revenue growth. Oracle Talent Acquisition team helps organizations reach hard-to-find talent, hire the right people, and get them productive more quickly. Modern recruiting is becoming increasingly challenging, requiring companies to work harder to seek out and identify the best talent while staying on top of the complexity of their own internal hiring process. The Talent Specialist manage end to end of the overall hiring lifecycle –from the sourcing of active and passive candidates across a variety of websites, job boards, referrals, and social media, Screen & qualify the identified candidates, manage interviews and who are then put through the interview & offer management and on boarding of the candidate.
The candidate hired for this role will be working with Regional Leadership team supporting end to end data analytics and reporting needs, understand their business and provide valuable insights to drive the business and strategies.
Job responsibilities include
Collaborate with the various stake holders in the Talent acquisition organization understanding the business requirements and objectives
Review, process, validate the integrity of data used for analysis
Work with all candidate/ employee database by using scientific methods, processes, systems to extract knowledge and insights from many structured and unstructured data
Able to create and design interactive dashboards
Build a comprehensive framework on Predictive modelling techniques and be able to present the data insights using data visualization
Make strategic recommendations based on the data analysis and models built to the leadership team and tell the story using data visualization.
Skills & Competencies:
Analytical & statistical skills
Knowledge of analytical tools – R, SAS, Hadoop etc
Knowledge of Business Intelligence tools – Oracle BI, Tableau, Microsoft Power BI etc
Knowledge of Programming languages – Python, SQL etc
Data modelling
Machine Learning, AI experience (plus)
Knowledge of HCM (preferred)
Strong Business Acumen and communication skills
Strong Data Intuition
Proven experience with client and customer engagement


Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.

Oracle is an Affirmative Action-Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law.

Job: All Roles
Travel: No
Location: MX-MX,Mexico-Guadalajara/Zapopan
Job Type: Contractor Hire
Organization: Oracle",Postedhace 30+ días,2022-04-22,English,"Tableau
Python
Hadoop",,,"Analitical, Collaborate, Comunication skills, Continuously learn, Leadership, Organization, strategic","Hiring better employees creates long-term competitive advantages that lead to increased customer satisfaction and revenue growth. Business Intelligence Analyst-220000SU

Applicants are required to read, write, and speak the following languages: English

Detailed Description and Job Requirements

Business Intelligence Analyst

We are looking for data enthusiasts who are passionate about data analytics, data models, data visualization, join us to support the Global Talent Acquisition organization.
Hiring better employees creates long-term competitive advantages that lead to increased customer satisfaction and revenue growth. Oracle Talent Acquisition team helps organizations reach hard-to-find talent, hire the right people, and get them productive more quickly. Modern recruiting is becoming increasingly challenging, requiring companies to work harder to seek out and identify the best talent while staying on top of the complexity of their own internal hiring process. The Talent Specialist manage end to end of the overall hiring lifecycle –from the sourcing of active and passive candidates across a variety of websites, job boards, referrals, and social media, Screen & qualify the identified candidates, manage interviews and who are then put through the interview & offer management and on boarding of the candidate.
The candidate hired for this role will be working with Regional Leadership team supporting end to end data analytics and reporting needs, understand their business and provide valuable insights to drive the business and strategies.
Job responsibilities include
Collaborate with the various stake holders in the Talent acquisition organization understanding the business requirements and objectives
Review, process, validate the integrity of data used for analysis
Work with all candidate/ employee database by using scientific methods, processes, systems to extract knowledge and insights from many structured and unstructured data
Able to create and design interactive dashboards
Build a comprehensive framework on Predictive modelling techniques and be able to present the data insights using data visualization
Make strategic recommendations based on the data analysis and models built to the leadership team and tell the story using data visualization.
Skills & Competencies:
Analytical & statistical skills
Knowledge of analytical tools – R, SAS, Hadoop etc
Knowledge of Business Intelligence tools – Oracle BI, Tableau, Microsoft Power BI etc
Knowledge of Programming languages – Python, SQL etc
Data modelling
Machine Learning, AI experience (plus)
Knowledge of HCM (preferred)
Strong Business Acumen and communication skills
Strong Data Intuition
Proven experience with client and customer engagement


Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.

Oracle is an Affirmative Action-Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law.

Job: All Roles
Travel: No
Location: MX-MX,Mexico-Guadalajara/Zapopan
Job Type: Contractor Hire
Organization: Oracle","Python, R, SQL, Machine learning, Tableau, Power BI",Analyst,Business Intelligence
13,13,Business Development Representative,"Monterrey, N. L.",Nuevo León,Teletrac Navman,,"Talk to a lot of new business contacts – Owners, Managers, Senior Leaders.Prospect’s pain points and drivers for the purchase decision.",,Postedhace 30+ días,2022-04-22,,,,,,"Talk to a lot of new business contacts – Owners, Managers, Senior Leaders.Prospect’s pain points and drivers for the purchase decision. ",,,
14,14,Sr. Software Engineer (Ford Pro),"Colonia Santa Fe, CDMX",Ciudad de México,Ford de México,,"Experience with machine learning, mathematical modeling and data analysis is a plus.Passion for learning and willingness to work in a pair programming…",,Postedhace 2 días,2022-04-22,,,,,,"Experience with machine learning, mathematical modeling and data analysis is a plus.Passion for learning and willingness to work in a pair programming… ",Machine learning,Engineer,
15,0,Technical Product Management,"Toluca, Méx.",Méx,HSBC,,The Technical Product Management job is accountable for enabling the technical development and run-time operation of products and services within a Product…,,Postedhace 2 días,2022-04-22,,,,,,The Technical Product Management job is accountable for enabling the technical development and run-time operation of products and services within a Product… ,,,
16,1,AI Solution Architect,"Monterrey, N. L.",Nuevo León,MAHLE,,"Conversational AI (Chat Bots, NLP, NLU, ... with Cognigy).Data / Process Mining (with Celonis).Defines standards and guidelines which (s)he ensures that they…",,Postedhace 23 días,2022-04-22,,,,,,"Conversational AI (Chat Bots, NLP, NLU, ... with Cognigy).Data / Process Mining (with Celonis).Defines standards and guidelines which (s)he ensures that they… ",NLP,,Artificial intelligence
17,2,SENIOR NLP ENGINEER,Remoto,Remoto,Svitla Systems,,You will work closely with the engineering team to ensure the data science and machine learning pipelines are performant in production.,,Postedhace 30+ días,2022-04-22,,,,,,You will work closely with the engineering team to ensure the data science and machine learning pipelines are performant in production. ,Machine learning,Engineer,
18,3,ML Business Analyst,"Monterrey, N. L.",Nuevo León,DigitalOnUs by Tech Mahindra,,"8+ years of experience with performing business analysis, including aspects of business process and requirements elicitation and documentation.",,Postedhace 30+ días,2022-04-22,,,,,,"8+ years of experience with performing business analysis, including aspects of business process and requirements elicitation and documentation. ",,Analyst,
19,4,Data Scientist,Ciudad de México,Ciudad de México,PepsiCo,,Experience with distributed machine learning is a plus.Create documentation for learnings and knowledge transfer.Refine requirements into modelling problems.,,Postedhace 30 días,2022-04-22,,,,,,Experience with distributed machine learning is a plus.Create documentation for learnings and knowledge transfer.Refine requirements into modelling problems. ,Machine learning,Scientist,
20,5,IT Talent Attraction Specialist,"Monterrey, N. L.",Nuevo León,Aliato,,"Graduated from Administration, Organizational Psychology and / or Industrial Relations.3 years experience in attracting talent, technology profiles.",,Postedhace 30+ días,2022-04-22,,,,,,"Graduated from Administration, Organizational Psychology and / or Industrial Relations.3 years experience in attracting talent, technology profiles. ",,Specialist,
21,6,Data Scientist/ML Engineer,"Guadalajara, Jal.",Jalisco,DigitalOnUs by Tech Mahindra,,Build predictive models and machine-learning algorithms.Experience in Python for data analysis and machine learning.,,Postedhace 30+ días,2022-04-22,,,,,,Build predictive models and machine-learning algorithms.Experience in Python for data analysis and machine learning. ,"Python, Machine learning","Scientist, Engineer",
22,7,Procurement Operations,"11000, Colonia Lomas de Chapultepec, CDMX","Colonia Lomas de Chapultepec, CDMX",SoftwareONE,,"The Associate Modern Operations GSDC Mexico will in his role assist SoftwareOne’s Local Operations and Sales Teams with creating and maintaining contracts,…",,Postedhace 30+ días,2022-04-22,,,,,,"The Associate Modern Operations GSDC Mexico will in his role assist SoftwareOne’s Local Operations and Sales Teams with creating and maintaining contracts,… ",,,
23,8,Solution Architect,Ciudad de México,Ciudad de México,Microsoft,,Delegates and leverages specialist skills of others to drive technical alignment across internal/external teams.6+ years technical sales experience.,,Postedhace 2 días,2022-04-22,,,,,,Delegates and leverages specialist skills of others to drive technical alignment across internal/external teams.6+ years technical sales experience. ,,,
24,9,HR Location Specialist - Recruitment -Training,"Tlalnepantla, Méx.",Méx,Continental AG,,"The products, systems and solutions developed by ContiTech are used both in the automotive industry as well as in railway engineering, machine and plant…",,Postedhace 28 días,2022-04-22,,,,,,"The products, systems and solutions developed by ContiTech are used both in the automotive industry as well as in railway engineering, machine and plant… ",,Specialist,
25,10,General IT Applications Development-P40 - IT North America,Ciudad de México,Ciudad de México,Nestle,,"Provides deep specialist guidance and support in their specific specialties (e.g. artificial intelligence, robotic process automation, machine learning, etc.,…",,Postedhace 25 días,2022-04-22,,,,,,"Provides deep specialist guidance and support in their specific specialties (e.g. artificial intelligence, robotic process automation, machine learning, etc.,… ",Machine learning,,
26,11,Senior Database Specialist Solutions Architect,Ciudad de México,Ciudad de México,Amazon Kuiper Mexico S.de R.L.,,"The successful candidate will become a trusted advisor to our customers and will partner with AWS specialist sales, business development, and product teams to…",,Postedhace 30+ días,2022-04-22,,,,,,"The successful candidate will become a trusted advisor to our customers and will partner with AWS specialist sales, business development, and product teams to… ",,Specialist,
27,12,Business Intelligence Analyst,"Guadalajara, Jal.",Jalisco,Oracle,,Hiring better employees creates long-term competitive advantages that lead to increased customer satisfaction and revenue growth.,,Postedhace 30+ días,2022-04-22,,,,,,Hiring better employees creates long-term competitive advantages that lead to increased customer satisfaction and revenue growth. ,,Analyst,Business Intelligence
28,13,Business Development Representative,"Monterrey, N. L.",Nuevo León,Teletrac Navman,,"Talk to a lot of new business contacts – Owners, Managers, Senior Leaders.Prospect’s pain points and drivers for the purchase decision.",,Postedhace 30+ días,2022-04-22,,,,,,"Talk to a lot of new business contacts – Owners, Managers, Senior Leaders.Prospect’s pain points and drivers for the purchase decision. ",,,
